,gammacontrol,gammaketamine,rec,ext
108,2.4445710803256615,2.6567614682157736,1.75,1.0
109,2.009830029756706,3.283386852491928,1.75,1.25
110,3.0456779828387206,3.8316834333410075,1.75,1.5
111,2.819528208046916,3.708546107363813,1.75,1.75
112,2.32276844830933,2.32276844830933,1.0,1.0
113,2.56318930558056,3.323120448336717,1.0,1.25
114,3.317549782147211,3.3395877539493206,1.0,1.5
115,2.670970386825226,3.807833294111217,1.0,1.75
116,1.9952863342585963,2.893760614383793,1.25,1.0
117,2.908312707125446,2.6139528486067336,1.25,1.25
118,2.773223882967917,3.7793827577997616,1.25,1.5
119,2.9754640307645697,3.8046890293950706,1.25,1.75
120,3.5078498140240892,2.469510190836695,1.5,1.0
121,2.505054627867704,3.1800824287539013,1.5,1.25
122,2.640306794966255,3.813288950283074,1.5,1.5
123,3.1195454023808527,4.340816611716335,1.5,1.75
124,3.011465498135001,3.1045003701986347,1.75,1.0
125,2.1911809765041426,3.1785693754155244,1.75,1.25
126,2.9518029593490382,3.4357967427428635,1.75,1.5
127,3.168380869408411,4.1815241447532285,1.75,1.75
128,2.925425549416898,2.925425549416898,1.0,1.0
129,2.5780135104474677,2.8289852750155005,1.0,1.25
130,3.364135971956442,2.930943840473672,1.0,1.5
131,2.2558467127228408,3.3103955517576362,1.0,1.75
132,3.5225958400098207,3.0130309342025394,1.25,1.0
133,2.9186495673240813,2.870675424085178,1.25,1.25
134,2.787969778984594,3.901358422866457,1.25,1.5
135,2.4574887978771334,4.407273634769125,1.25,1.75
136,1.4693298348728152,3.2562828104302546,1.5,1.0
137,2.2091769801238357,2.3263308330015664,1.5,1.25
138,3.176476975115077,3.6015185755244206,1.5,1.5
139,3.023964889060773,3.722989283790698,1.5,1.75
140,2.96958031933446,2.5403579127126914,1.75,1.0
141,2.5607620227046,2.255161700817098,1.75,1.25
142,3.366033898909845,3.641082954630911,1.75,1.5
143,2.482746887838279,2.7547860642177855,1.75,1.75
144,1.6654607403221755,1.6654607403221755,1.0,1.0
145,3.2186566717254532,3.3095129904072866,1.0,1.25
146,2.741176285477992,3.642439045591381,1.0,1.5
147,3.197708022792756,3.692023242072961,1.0,1.75
148,3.244294073397576,2.6225910598256883,1.25,1.0
149,1.676302019926445,2.4663255637453116,1.25,1.25
150,3.4781337259220964,3.9663191072903605,1.25,1.5
151,3.3848338545876238,3.8569282731548578,1.25,1.75
152,2.8957298529920683,2.715176127128937,1.5,1.0
153,3.1951282129255194,2.5827256702213006,1.5,1.25
154,2.758721864524905,3.7545682218245906,1.5,1.5
155,2.9270493992050737,2.308176106050429,1.5,1.75
156,3.476714705148639,2.3565533505709477,1.75,1.0
157,3.1378102700905677,1.8617174469993252,1.75,1.25
158,2.94810631337781,3.6448581654978356,1.75,1.5
159,3.1483239731122885,3.5196476724989214,1.75,1.75
160,3.044172709470931,3.044172709470931,1.0,1.0
161,3.059696213336083,3.4581016201963277,1.0,1.25
162,2.9103522774355115,3.7254519858217945,1.0,1.5
163,3.2378247458492444,2.7312777341635934,1.0,1.75
164,2.8760055463037815,3.1722489954171538,1.25,1.0
165,3.0746679245887094,2.407441736081796,1.25,1.25
166,3.2194718149555417,4.087501357030668,1.25,1.5
167,3.143384922275479,3.5781988550593224,1.25,1.75
168,2.162475436042218,2.575166615532387,1.5,1.0
169,2.931320429315645,3.430387887169664,1.5,1.25
170,3.480543160422972,3.7778896060695524,1.5,1.5
171,3.551260377829952,3.9959808464385724,1.5,1.75
172,3.139870070887354,3.0048275011018646,1.75,1.0
173,2.4828551383641444,3.4375358810556573,1.75,1.25
174,2.201569246070817,3.4152396797897255,1.75,1.5
175,3.034466890087708,4.1521843944254275,1.75,1.75
176,2.525695935674481,2.525695935674481,1.0,1.0
177,2.797774381413101,3.0679008688175435,1.0,1.25
178,1.9337781839703645,3.5485243501797163,1.0,1.5
179,3.151896235350902,3.8391703655069773,1.0,1.75
180,1.839360727777075,1.8632531808227804,1.25,1.0
181,1.8522073050749015,3.681470745996563,1.25,1.25
182,3.1501761835781066,3.306183544513838,1.25,1.5
183,3.111254658598929,3.756741578989509,1.25,1.75
184,3.083133960004097,2.890421343261815,1.5,1.0
185,3.3872680528893655,3.7711826006062004,1.5,1.25
186,2.721462721789079,3.5364007538250575,1.5,1.5
187,2.1643837518693596,3.544043636038126,1.5,1.75
188,2.1510820239434074,3.2847802682408216,1.75,1.0
189,2.7131311870554335,2.440819694981288,1.75,1.25
190,3.004910782003277,3.3884162825025013,1.75,1.5
191,3.473259434432244,3.6214442780364466,1.75,1.75
192,3.188432376999525,3.188432376999525,1.0,1.0
193,3.30302533215423,2.082132384149479,1.0,1.25
194,3.029180281091778,3.8588494866004424,1.0,1.5
195,2.6963229055513085,3.5763234216726327,1.0,1.75
196,3.036081768576383,2.277526825535317,1.25,1.0
197,2.9261809619433716,3.1041519096782104,1.25,1.25
198,2.718774673187989,2.939677052511568,1.25,1.5
199,3.1822774841688597,4.057720733649205,1.25,1.75
200,3.701758503527944,2.0598517029348646,1.5,1.0
201,2.718412753608646,3.334231906701526,1.5,1.25
202,2.368493587160428,3.624510150401359,1.5,1.5
203,3.010626229346928,3.9959577426211683,1.5,1.75
204,3.078530989381699,2.8681879746151924,1.75,1.0
205,2.4943073830457627,3.309366868577425,1.75,1.25
206,3.404552049032885,3.5805663291842498,1.75,1.5
207,2.36058241813362,3.969694853924649,1.75,1.75
208,3.17986039745285,3.17986039745285,1.0,1.0
209,2.5706413936201082,3.239817977599972,1.0,1.25
210,3.061796283652733,3.5013322738422787,1.0,1.5
211,2.2417551760549657,4.165460675847701,1.0,1.75
212,2.1547790059162035,2.3956085654187147,1.25,1.0
213,2.9802065811092295,2.8803226623320923,1.25,1.25
214,3.057036414976501,4.09918847335269,1.25,1.5
215,2.746269015012512,3.151804075560887,1.25,1.75
216,1.9311805965004687,2.8306094630989804,1.5,1.0
217,2.601283939512299,3.2835605447680836,1.5,1.25
218,2.779025512381422,3.611253285427028,1.5,1.5
219,3.301414116759466,3.6894619389278183,1.5,1.75
220,2.6399527604098094,2.1122426780967536,1.75,1.0
221,2.657359319469627,3.577590806953112,1.75,1.25
222,2.7158090803955384,3.8231324662245094,1.75,1.5
223,2.548260944060339,3.201706148712764,1.75,1.75
224,3.181185204033407,3.181185204033407,1.0,1.0
225,3.1631851534064044,3.282013289574541,1.0,1.25
226,3.0783652301905535,3.8739697105788684,1.0,1.5
227,2.9069693125746645,4.04133563121987,1.0,1.75
228,3.165124261857504,3.3017795846834086,1.25,1.0
229,1.5149296201287517,3.703275047847574,1.25,1.25
230,2.6767882012906647,3.4838782016517813,1.25,1.5
231,3.2823873491759064,2.929803126768861,1.25,1.75
232,1.62324445645213,3.044722904216399,1.5,1.0
233,2.520290480142783,3.3683749374436043,1.5,1.25
234,3.0860184152807855,3.387452746421802,1.5,1.5
235,2.287749559075275,3.9243903834792295,1.5,1.75
236,2.851424192797843,2.8116771485587657,1.75,1.0
237,1.2439137460222407,3.1580872167331666,1.75,1.25
238,2.658420284246098,3.6821047985207693,1.75,1.5
239,3.0354767567465664,3.424469299137902,1.75,1.75
240,2.490991342368073,2.490991342368073,1.0,1.0
241,3.067751341926167,3.144393140025013,1.0,1.25
242,2.561025070196547,3.680830048207317,1.0,1.5
243,3.1166997670406613,4.0580744302936855,1.0,1.75
244,2.835533207709994,2.9982001117756787,1.25,1.0
245,3.27612182614899,3.539395431836639,1.25,1.25
246,3.0450445477080184,4.128901333205128,1.25,1.5
247,2.908500464758232,3.520191774825999,1.25,1.75
248,2.82903495728338,2.932864003198751,1.5,1.0
249,3.3112560507773297,3.3073153095062366,1.5,1.25
250,3.156527756933951,3.372532925632331,1.5,1.5
251,3.3709171539915586,3.7867166591231665,1.5,1.75
252,2.8327576589966283,3.1115692610654855,1.75,1.0
253,1.843878792888776,2.1293882050477753,1.75,1.25
254,3.6342491581985272,3.0007684387927545,1.75,1.5
255,1.6684496874939043,3.3587125328942253,1.75,1.75
