(2.766666666666666, 2.9146509862123997)
(2.520833333333333, 0.29654647918041044)
(2.5625, 0.2548254268792321)
(2.587083333333333, 1.800521894770515)
(2.5329166666666665, 2.18927439763193)
(2.507916666666667, 2.8792145878141833)
(2.5125, 1.2728197714545761)
(2.5566666666666666, 2.7091355637786316)
(2.583333333333334, 1.9519251714936412)
(2.5708333333333337, 2.533759814101104)
(2.4720833333333334, 2.847902080875808)
(2.5420833333333333, 2.91539747809831)
(2.5545833333333334, 2.624430607507369)
(2.56625, 3.1287985748455864)
(2.5270833333333336, 1.7678979755258002)
(2.521666666666667, 2.4697976444528122)
(2.56375, 2.8564295807278413)
(2.472916666666667, 0.5496407740352907)
(2.5595833333333333, 3.020856741325223)
^krec=20
--------------------------------------
krec=1:

(2.24, 2.874045220848618)
(2.2583333333333333, 3.22313922490316)
(2.2708333333333335, 3.1315785165588763)
(2.3320833333333333, 3.3414928800752137)
(2.345833333333333, 2.929443308083611)
(2.2962499999999997, 2.919959519832328)
(2.28875, 2.308156516415565)
(2.2579166666666666, 1.5311548812517741)
(2.31, 2.7061209864021483)
(2.324583333333333, 3.3331701049309217)
(2.2895833333333333, 2.969787418937673)
(2.295, 3.481596253981942)
(2.271666666666667, 3.4931389745610657)
(2.3141666666666665, 2.6981178016767404)
(2.2841666666666667, 3.1000959942393553)
(2.311666666666667, 3.238132207667195)
